﻿ Consumption
 Time, Wh 
  08/02/2026 00:00 , 57.1 
  08/02/2026 01:00 , 57.52 
  08/02/2026 02:00 , 52.69 
  08/02/2026 03:00 , 49.13 
  08/02/2026 04:00 , 45.77 
  08/02/2026 05:00 , 43.04 
  08/02/2026 06:00 , 40.52 
  08/02/2026 07:00 , 41.78 
  08/02/2026 08:00 , 65.29 
  08/02/2026 09:00 , 55 
  08/02/2026 10:00 , 41.78 
  08/02/2026 11:00 , 0 
  08/02/2026 12:00 , 0 
  08/02/2026 13:00 , 0 
  08/02/2026 14:00 , 0 
  08/02/2026 15:00 , 0 
  08/02/2026 16:00 , 0 
  08/02/2026 17:00 , 5.04 
  08/02/2026 18:00 , 89.85 
  08/02/2026 19:00 , 108.12 
  08/02/2026 20:00 , 0 
  08/02/2026 21:00 , 0 
  08/02/2026 22:00 , 0 
  08/02/2026 23:00 , 0 
 
 Total returned
 Time, Wh 
  08/02/2026 00:00 , 0 
  08/02/2026 01:00 , 0 
  08/02/2026 02:00 , 0 
  08/02/2026 03:00 , 0 
  08/02/2026 04:00 , 0 
  08/02/2026 05:00 , 0 
  08/02/2026 06:00 , 0 
  08/02/2026 07:00 , 0 
  08/02/2026 08:00 , 0 
  08/02/2026 09:00 , 0 
  08/02/2026 10:00 , 0 
  08/02/2026 11:00 , 0 
  08/02/2026 12:00 , 0 
  08/02/2026 13:00 , 0 
  08/02/2026 14:00 , 0 
  08/02/2026 15:00 , 0 
  08/02/2026 16:00 , 0 
  08/02/2026 17:00 , 0 
  08/02/2026 18:00 , 0 
  08/02/2026 19:00 , 0 
  08/02/2026 20:00 , 0 
  08/02/2026 21:00 , 0 
  08/02/2026 22:00 , 0 
  08/02/2026 23:00 , 0 
 
